filename,cell_type,x1,x2,y1,y2,content,img_width,img_height,bb_width,bb_height
photo-0.jpg,2,1306,1336,1683,1847,Pies Beef (2),2448,3264,30,164
photo-0.jpg,2,1338,1369,1616,1846,Pies Vegetable (2),2448,3264,31,230
photo-0.jpg,2,1367,1402,1486,1847,Spinach & Fetta Turnover (3),2448,3264,35,361
photo-0.jpg,2,1398,1435,1534,1846,Party Sausage Rolls (12),2448,3264,37,312
photo-0.jpg,2,1433,1461,1633,1844,Bread Stick Herb,2448,3264,28,211
photo-0.jpg,2,1463,1492,1619,1845,Bread Stick Garlic,2448,3264,29,226
photo-0.jpg,2,1495,1524,1595,1846,Bread Sticks Plain -,2448,3264,29,251
photo-0.jpg,2,1529,1561,1672,1847,Lamington (6),2448,3264,32,175
photo-0.jpg,2,1559,1589,1573,1846,Muffins Choc Chip (2),2448,3264,30,273
photo-0.jpg,2,1588,1622,1481,1845,Muffins Raspberry Delight (2),2448,3264,34,364
photo-0.jpg,2,1624,1654,1590,1846,Donut-Cinnamon (8),2448,3264,30,256
photo-0.jpg,2,1656,1686,1611,1845,Eclairs Custard (3),2448,3264,30,234
photo-0.jpg,2,1687,1717,1544,1847,Slice - Rum & Raisin (6),2448,3264,30,303
photo-0.jpg,2,1720,1752,1632,1847,Slice - Cherry (6),2448,3264,32,215
photo-0.jpg,2,1756,1786,1742,1845,Delivery,2448,3264,30,103
photo-0.jpg,1,1275,1301,352,423,34.75,2448,3264,26,71
photo-0.jpg,1,1309,1334,350,424,34.75,2448,3264,25,74
photo-0.jpg,1,1340,1367,350,422,32.80,2448,3264,27,72
photo-0.jpg,1,1372,1397,348,419,32.84,2448,3264,25,71
photo-0.jpg,1,1405,1429,347,419,31.44,2448,3264,24,72
photo-0.jpg,1,1437,1461,346,418,31.44,2448,3264,24,72
photo-0.jpg,1,1468,1493,345,417,31.44,2448,3264,25,72
photo-0.jpg,1,1500,1526,343,416,27.84,2448,3264,26,73
photo-0.jpg,1,1532,1558,341,414,22.00,2448,3264,26,73
photo-0.jpg,1,1565,1590,341,413,22.00,2448,3264,25,72
photo-0.jpg,1,1597,1623,340,412,55.00,2448,3264,26,72
photo-0.jpg,1,1630,1655,336,409,21.56,2448,3264,25,73
photo-0.jpg,1,1662,1687,334,408,28.16,2448,3264,25,74
photo-0.jpg,1,1695,1721,334,407,28.08,2448,3264,26,73
photo-0.jpg,1,1727,1752,332,405,36.00,2448,3264,25,73
photo-0.jpg,1,1283,1307,537,592,3.16,2448,3264,24,55
photo-0.jpg,1,1289,1312,813,868,6.95,2448,3264,23,55
photo-0.jpg,1,1295,1321,1126,1210,5.0000,2448,3264,26,84
photo-0.jpg,3,1292,1317,1010,1086,EACH,2448,3264,25,76
photo-0.jpg,1,1327,1352,1124,1209,5.0000,2448,3264,25,85
photo-0.jpg,3,1324,1349,1008,1084,EACH,2448,3264,25,76
photo-0.jpg,1,1359,1384,1124,1209,5.0000,2448,3264,25,85
photo-0.jpg,3,1356,1381,1008,1083,EACH,2448,3264,25,75
photo-0.jpg,1,1391,1415,1123,1208,4.0000,2448,3264,24,85
photo-0.jpg,3,1387,1413,1007,1082,EACH,2448,3264,26,75
photo-0.jpg,1,1422,1447,1122,1206,8.0000,2448,3264,25,84
photo-0.jpg,3,1419,1444,1005,1082,EACH,2448,3264,25,77
photo-0.jpg,1,1454,1479,1123,1206,8.0000,2448,3264,25,83
photo-0.jpg,3,1451,1476,1006,1080,EACH,2448,3264,25,74
photo-0.jpg,1,1486,1510,1122,1206,8.0000,2448,3264,24,84
photo-0.jpg,3,1482,1508,1005,1080,EACH,2448,3264,26,75
photo-0.jpg,1,1518,1542,1120,1207,4.0000,2448,3264,24,87
photo-0.jpg,3,1514,1540,1003,1080,EACH,2448,3264,26,77
photo-0.jpg,1,1550,1574,1121,1204,5.0000,2448,3264,24,83
photo-0.jpg,3,1547,1573,1003,1078,EACH,2448,3264,26,75
photo-0.jpg,1,1583,1607,1119,1205,5.0000,2448,3264,24,86
photo-0.jpg,3,1579,1605,1003,1078,EACH,2448,3264,26,75
photo-0.jpg,1,1615,1640,1116,1218,10.0000,2448,3264,25,102
photo-0.jpg,3,1611,1637,1001,1078,EACH,2448,3264,26,77
photo-0.jpg,1,1647,1671,1117,1202,4.0000,2448,3264,24,85
photo-0.jpg,3,1644,1669,1000,1075,EACH,2448,3264,25,75
photo-0.jpg,1,1679,1704,1117,1202,4.0000,2448,3264,25,85
photo-0.jpg,3,1676,1701,999,1075,EACH,2448,3264,25,76
photo-0.jpg,1,1712,1736,1116,1203,4.0000,2448,3264,24,87
photo-0.jpg,3,1709,1734,999,1075,EACH,2448,3264,25,76
photo-0.jpg,1,1744,1768,1115,1201,2.0000,2448,3264,24,86
photo-0.jpg,3,1740,1766,998,1074,EACH,2448,3264,26,76
photo-0.jpg,3,1313,1337,2043,2097,GF1,2448,3264,24,54
photo-0.jpg,1,1314,1338,535,591,3.16,2448,3264,24,56
photo-0.jpg,1,1321,1345,813,867,6.95,2448,3264,24,54
photo-0.jpg,3,1344,1370,2040,2097,GF6,2448,3264,26,57
photo-0.jpg,3,1346,1370,515,590,2.98 .,2448,3264,24,75
photo-0.jpg,1,1353,1376,810,866,6.56,2448,3264,23,56
photo-0.jpg,3,1376,1401,2023,2097,GF22,2448,3264,25,74
photo-0.jpg,3,1407,1433,2006,2098,GF120,2448,3264,26,92
photo-0.jpg,3,1440,1465,2007,2096,GF150,2448,3264,25,89
photo-0.jpg,3,1472,1496,2012,2096,GF151,2448,3264,24,84
photo-0.jpg,3,1504,1528,2009,2098,GF152,2448,3264,24,89
photo-0.jpg,3,1535,1560,2024,2098,GF30,2448,3264,25,74
photo-0.jpg,3,1567,1592,2025,2098,GF43,2448,3264,25,73
photo-0.jpg,3,1599,1625,2025,2099,GF44,2448,3264,26,74
photo-0.jpg,3,1632,1657,2024,2100,GF84,2448,3264,25,76
photo-0.jpg,3,1665,1690,2025,2099,GF85,2448,3264,25,74
photo-0.jpg,3,1697,1721,2010,2100,GF100,2448,3264,24,90
photo-0.jpg,3,1729,1754,2010,2101,GF104,2448,3264,25,91
photo-0.jpg,1,1378,1401,534,587,2.99,2448,3264,23,53
photo-0.jpg,1,1384,1408,814,865,8.21,2448,3264,24,51
photo-0.jpg,1,1410,1434,532,588,0.00,2448,3264,24,56
photo-0.jpg,1,1416,1440,809,865,3.93,2448,3264,24,56
photo-0.jpg,1,1441,1466,531,586,0.00,2448,3264,25,55
photo-0.jpg,1,1449,1471,808,862,3.93,2448,3264,22,54
photo-0.jpg,1,1473,1499,530,585,0.00,2448,3264,26,55
photo-0.jpg,1,1480,1504,807,862,3.93,2448,3264,24,55
photo-0.jpg,1,1506,1530,529,584,2.53,2448,3264,24,55
photo-0.jpg,1,1512,1536,806,861,6.96,2448,3264,24,55
photo-0.jpg,1,1538,1562,527,583,2.00,2448,3264,24,56
photo-0.jpg,1,1544,1568,805,861,4.40,2448,3264,24,56
photo-0.jpg,1,1570,1594,527,582,2.00,2448,3264,24,55
photo-0.jpg,1,1576,1599,804,860,4.40,2448,3264,23,56
photo-0.jpg,1,1602,1627,527,581,5.00,2448,3264,25,54
photo-0.jpg,1,1608,1632,802,859,5.50,2448,3264,24,57
photo-0.jpg,1,1635,1658,523,576,1.96,2448,3264,23,53
photo-0.jpg,1,1640,1664,801,856,5.39,2448,3264,24,55
photo-0.jpg,1,1667,1692,522,577,256,2448,3264,25,55
photo-0.jpg,1,1674,1697,801,856,7.04,2448,3264,23,55
photo-0.jpg,1,1699,1724,521,577,255,2448,3264,25,56
photo-0.jpg,1,1706,1729,801,856,7.02,2448,3264,23,55
photo-0.jpg,1,1732,1756,519,576,3.27,2448,3264,24,57
photo-0.jpg,1,1737,1762,798,869,18.00,2448,3264,25,71
photo-0.jpg,3,1762,1786,2078,2099,D,2448,3264,24,21
photo-1.jpg,2,1002,1026,1966,2212,2NDS ASST PIES,2448,3264,24,246
photo-1.jpg,1,1001,1027,671,774,$163.64,2448,3264,26,103
